COURSE TITLE,R1 2019,R2 2019,Course Level,2019 Interview,2019 R1 Random
Philosophy,391.0,446.0,8,0,0
Psychology,555.0,577.0,8,0,1
Clinical Speech and Language Studies,499.0,529.0,8,0,0
Music Education,430.0,465.0,8,1,0
History and Political Science,532.0,557.0,8,0,1
"Philosophy, Political Science, Economics and Sociology",566.0,577.0,8,0,0
Deaf Studies,337.0,372.0,8,0,0
Law and Business,576.0,589.0,8,0,0
Law and French,532.0,554.0,8,0,1
Law and German,523.0,555.0,8,0,0
Law and Political Science,567.0,600.0,8,0,0
"Classics, Ancient History and Archaeology",377.0,495.0,8,0,0
Early and Modern Irish,347.0,407.0,8,0,0
English Studies,463.0,511.0,8,0,0
European Studies,520.0,544.0,8,0,0
Drama and Theatre Studies,489.0,531.0,8,1,0
Ancient and Medieval History and Culture,339.0,451.0,8,0,0
Political Science and Geography,477.0,500.0,8,0,0
Mathematics,566.0,589.0,8,0,0
Engineering,487.0,520.0,8,0,1
Computer Science,465.0,488.0,8,0,1
Management Science and Information Systems Studies,589.0,602.0,8,0,1
Theoretical Physics,554.0,601.0,8,0,0
Engineering with Management,499.0,543.0,8,0,0
Computer Science and Language,435.0,498.0,8,0,0
Middle Eastern and European Languages and Cultures,485.0,518.0,8,0,0
Religion,347.0,393.0,8,0,0
Medicine (HPAT required),730.0,739.0,8,1,0
Dental Science,590.0,602.0,8,0,1
Physiotherapy,533.0,544.0,8,0,1
Occupational Therapy,500.0,520.0,8,0,0
Radiation Therapy,510.0,521.0,8,0,0
Human Health and Disease,543.0,565.0,8,0,0
Biological and Biomedical Sciences,510.0,542.0,8,0,1
Chemical Sciences,488.0,520.0,8,0,1
Geography and Geoscience,435.0,485.0,8,0,0
Physical Sciences,498.0,543.0,8,0,1
Pharmacy,555.0,577.0,8,0,1
Global Business,565.0,577.0,8,0,0
"Business, Economic and Social Studies (BESS)",518.0,542.0,8,0,1
Computer Science and Business,510.0,542.0,8,0,0
Sociology and Social Policy,451.0,474.0,8,0,0
Social Studies (Social Work),420.0,462.0,8,0,1
Business Studies and French,509.0,553.0,8,0,0
Business Studies and German,474.0,495.0,8,0,0
Business Studies and Russian,467.0,487.0,8,0,0
Business Studies and Polish,393.0,434.0,8,0,0
Business Studies and Spanish,510.0,543.0,8,0,0
General Nursing (Meath and St James`s),393.0,420.0,8,0,1
General Nursing (Adelaide School of Nursing),378.0,409.0,8,1,1
Mental Health Nursing,358.0,377.0,8,0,0
Intellectual Disability Nursing,346.0,350.0,8,0,0
Children`s and General Nursing (Integrated),476.0,487.0,8,0,1
Midwifery,423.0,462.0,8,0,0
Architecture,473.0,509.0,8,0,0
Landscape Architecture,353.0,403.0,8,0,0
City Planning and Environmental Policy,367.0,421.0,8,0,0
Engineering (Common Entry),511.0,554.0,8,0,0
Science (options),521.0,554.0,8,0,0
Computer Science (Common Entry),488.0,509.0,8,0,0
Actuarial and Financial Studies,577.0,589.0,8,0,0
Agricultural Science (options),420.0,462.0,8,0,0
Dairy Business,398.0,428.0,8,0,0
Agri - Environmental Sciences,403.0,419.0,8,0,0
Food Science,434.0,467.0,8,0,0
Human Nutrition,493.0,510.0,8,0,0
Forestry,303.0,361.0,8,0,0
"Horticulture, Landscape and Sportsturf Management",252.0,312.0,8,0,0
Veterinary Medicine - Undergraduate Entry,567.0,589.0,8,1,0
Veterinary Medicine - Graduate Entry,,,8,1,0
Veterinary Nursing,441.0,487.0,8,0,0
